"","V1","GSM1487113_disease_status:_Normal","GSM1487114_disease_status:_Normal","GSM1487115_disease_status:_Normal","GSM1487116_disease_status:_Normal","GSM1487117_disease_status:_Normal","GSM1487118_disease_status:_Normal","GSM1487119_disease_status:_Normal","GSM1487120_disease_status:_Normal","GSM1487121_disease_status:_Normal","GSM1487122_disease_status:_Normal","GSM1487123_disease_status:_Normal","GSM1487124_disease_status:_Normal","GSM1487125_disease_status:_Normal","GSM1487126_disease_status:_Normal","GSM1487127_disease_status:_Normal","GSM1487128_disease_status:_Normal","GSM1487129_disease_status:_Normal","GSM1487130_disease_status:_Normal","GSM1487131_disease_status:_Normal","GSM1487132_disease_status:_Normal","GSM1487133_disease_status:_Normal","GSM1487134_disease_status:_Normal","GSM1487135_disease_status:_Normal","GSM1487136_disease_status:_Normal","GSM1487137_disease_status:_Normal","GSM1487138_disease_status:_Normal","GSM1487139_disease_status:_Normal","GSM1487140_disease_status:_Normal","GSM1487141_disease_status:_Normal","GSM1487142_disease_status:_Normal","GSM1487143_disease_status:_Normal","GSM1487144_disease_status:_Normal","GSM1487145_disease_status:_Normal","GSM1487146_disease_status:_Normal","GSM1487147_disease_status:_CC","GSM1487148_disease_status:_CC","GSM1487149_disease_status:_CC","GSM1487150_disease_status:_Cbil","GSM1487151_disease_status:_Cbil","GSM1487152_disease_status:_CG","GSM1487153_disease_status:_CG","GSM1487154_disease_status:_CG","GSM1487155_disease_status:_CG","GSM1487156_disease_status:_CI","GSM1487157_disease_status:_CI","GSM1487158_disease_status:_CirrEtOH","GSM1487159_disease_status:_CirrEtOH","GSM1487160_disease_status:_CirrEtOH","GSM1487161_disease_status:_CirrEtOH","GSM1487162_disease_status:_CirrEtOH","GSM1487163_disease_status:_CirrEtOH","GSM1487164_disease_status:_CirrEtOH","GSM1487165_disease_status:_CirrEtOH","GSM1487166_disease_status:_CirrEtOH","GSM1487167_disease_status:_CirrEtOH","GSM1487168_disease_status:_CirrEtOH","GSM1487169_disease_status:_CirrEtOH","GSM1487170_disease_status:_CirrEtOH","GSM1487171_disease_status:_CirrEtOH","GSM1487172_disease_status:_CirrEtOH","GSM1487173_disease_status:_CirrEtOH","GSM1487174_disease_status:_CirrEtOH","GSM1487175_disease_status:_CirrEtOH","GSM1487176_disease_status:_CirrEtOH","GSM1487177_disease_status:_CirrEtOH","GSM1487178_disease_status:_CirrEtOH","GSM1487179_disease_status:_CirrHBV","GSM1487180_disease_status:_CirrHBV","GSM1487181_disease_status:_CirrHBV","GSM1487182_disease_status:_CirrHBV","GSM1487183_disease_status:_CirrHBV","GSM1487184_disease_status:_CirrHBV","GSM1487185_disease_status:_CirrHCV","GSM1487186_disease_status:_CirrHCV","GSM1487187_disease_status:_CirrHCV","GSM1487188_disease_status:_CirrHCV","GSM1487189_disease_status:_CirrHCV","GSM1487190_disease_status:_CirrHCV","GSM1487191_disease_status:_CirrHCV","GSM1487192_disease_status:_CirrHCV","GSM1487193_disease_status:_CirrHCV","GSM1487194_disease_status:_CirrHCV","GSM1487195_disease_status:_CirrHCV","GSM1487196_disease_status:_CirrHCV","GSM1487197_disease_status:_CirrHCV","GSM1487198_disease_status:_CirrHCV","GSM1487199_disease_status:_CirrHCV","GSM1487200_disease_status:_CirrHCV","GSM1487201_disease_status:_CirrHCV","GSM1487202_disease_status:_CirrHCV","GSM1487203_disease_status:_CirrHCV","GSM1487204_disease_status:_CirrHCV","GSM1487205_disease_status:_CirrHCV","GSM1487206_disease_status:_CirrHCV","GSM1487207_disease_status:_CirrHCV","GSM1487208_disease_status:_CirrHCV","GSM1487209_disease_status:_CirrHCV","GSM1487210_disease_status:_CirrHCV","GSM1487211_disease_status:_CirrHCV","GSM1487212_disease_status:_CirrHCV","GSM1487213_disease_status:_CirrHCV","GSM1487214_disease_status:_CirrHCV","GSM1487215_disease_status:_CirrHCV","GSM1487216_disease_status:_CirrHCV","GSM1487217_disease_status:_CirrHCV","GSM1487218_disease_status:_CirrHCV","GSM1487219_disease_status:_CirrHCV","GSM1487220_disease_status:_CirrHCV","GSM1487221_disease_status:_CirrHCV","GSM1487222_disease_status:_CirrHCV","GSM1487223_disease_status:_CirrHCV","GSM1487224_disease_status:_Hbil","GSM1487225_disease_status:_Hbil","GSM1487226_disease_status:_HC","GSM1487227_disease_status:_HC","GSM1487228_disease_status:_HC","GSM1487229_disease_status:_HC","GSM1487230_disease_status:_HC","GSM1487231_disease_status:_HCC_cell_line","GSM1487232_disease_status:_HCC_cell_line","GSM1487233_disease_status:_HCC_cell_line","GSM1487234_disease_status:_HCC_cell_line","GSM1487235_disease_status:_HCC_cell_line","GSM1487236_disease_status:_HCC_cell_line","GSM1487237_disease_status:_HCC_cell_line","GSM1487238_disease_status:_HCC_cell_line","GSM1487239_disease_status:_HCCEtOH","GSM1487240_disease_status:_HCCEtOH","GSM1487241_disease_status:_HCCEtOH","GSM1487242_disease_status:_HCCEtOH","GSM1487243_disease_status:_HCCEtOH","GSM1487244_disease_status:_HCCEtOH","GSM1487245_disease_status:_HCCEtOH","GSM1487246_disease_status:_HCCEtOH","GSM1487247_disease_status:_HCCEtOH","GSM1487248_disease_status:_HCCEtOH","GSM1487249_disease_status:_HCCEtOH","GSM1487250_disease_status:_HCCEtOH","GSM1487251_disease_status:_HCCEtOH","GSM1487252_disease_status:_HCCEtOH","GSM1487253_disease_status:_HCCEtOH","GSM1487254_disease_status:_HCCHCV","GSM1487255_disease_status:_HCCHCV","GSM1487256_disease_status:_HCCHCV","GSM1487257_disease_status:_HCCHCV","GSM1487258_disease_status:_HCCHCV","GSM1487259_disease_status:_HCCHCV","GSM1487260_disease_status:_HCCHCV","GSM1487261_disease_status:_HCCHCV","GSM1487262_disease_status:_HCCHCV","GSM1487263_disease_status:_HCCHCV","GSM1487264_disease_status:_HCCHCV","GSM1487265_disease_status:_HCCHCV","GSM1487266_disease_status:_HM","GSM1487267_disease_status:_HM","GSM1487268_disease_status:_HM","GSM1487269_disease_status:_HM","GSM1487270_disease_status:_HM","GSM1487271_disease_status:_HM","GSM1487272_disease_status:_HM","GSM1487273_disease_status:_HM","GSM1487274_disease_status:_normal_hepatocyte","GSM1487275_disease_status:_normal_hepatocyte","GSM1487276_disease_status:_normal_hepatocyte","GSM1487277_disease_status:_normal_hepatocyte","GSM1487278_disease_status:_normal_hepatocyte","GSM1487279_disease_status:_normal_hepatocyte","GSM1487280_disease_status:_normal_hepatocyte","GSM1487281_disease_status:_normal_hepatocyte","GSM1487282_disease_status:_normal_hepatocyte","GSM1487283_disease_status:_normal_hepatocyte","GSM1487284_disease_status:_normal_hepatocyte","GSM1487285_disease_status:_normal_hepatocyte","GSM1487286_disease_status:_normal_hepatocyte","GSM1487287_disease_status:_normal_hepatocyte","GSM1487288_disease_status:_normal_hepatocyte","GSM1487289_disease_status:_normal_hepatocyte","GSM1487290_disease_status:_normal_hepatocyte","GSM1487291_disease_status:_unclassified","GSM1487292_disease_status:_unclassified","GSM1487293_disease_status:_unclassified","GSM1487294_disease_status:_unclassified","GSM1487295_disease_status:_unclassified","GSM1487296_disease_status:_unclassified","GSM1487297_disease_status:_unclassified","GSM1487298_disease_status:_unclassified","GSM1487299_disease_status:_unclassified","GSM1487300_disease_status:_unclassified","GSM1487301_disease_status:_unclassified","GSM1487302_disease_status:_unclassified","GSM1487303_disease_status:_unclassified","GSM1487304_disease_status:_unclassified","GSM1487305_disease_status:_unclassified","GSM1487306_disease_status:_unclassified","GSM1487307_disease_status:_unclassified","GSM1487308_disease_status:_unclassified","GSM1487309_disease_status:_unclassified","GSM1487310_disease_status:_unclassified","GSM1487311_disease_status:_unclassified"
"1","moss_Blood-Megakaryocytes",1.2,0.74,0.85,0.76,2.81,0.57,0.97,0.55,1.23,1.09,0.75,1.44,0,0.3,1.58,0,0.54,1.21,0.81,1.24,1.14,1.5,0.78,0.77,1.44,0.87,1.29,1.06,0,1.73,1.43,0.94,1.55,1.18,1.07,1.18,0.77,1.33,0.49,0.21,1.87,0.88,1.31,0.69,1.07,1.57,0.41,1.47,0.15,0.43,0.12,0.17,1.96,0.62,0,1.28,0,0.29,0.32,0,1.33,1.31,1.1,0.69,0.71,0.94,0.73,0,0.48,0.86,0.41,0.54,1.41,0.76,0.3,1.09,0.26,0.7,0.12,0.95,0.84,0.62,0.64,0,1.35,0,1.19,0.64,0.62,0.86,1.37,0.96,0.71,0.32,0.53,0.02,1.28,0,0.15,1.38,0.96,0.36,0.61,0.45,0.8,0.15,1.38,0.4,0.71,0.48,0.18,0,0.55,0.23,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0.3,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3.13,0.7,0.53,1.51,0,1.12,0,1.01,0,0.01,0.98,0.93,0.54,0.67,1.25,0,0,0,0,0,1.28,1.2,0
"2","loyfer_Blood-B",5.23,5.29,3.95,2.64,7.64,3.43,4.48,4.93,2.1,2.49,3.83,1.83,3.45,2.84,3.05,13.91,3.54,3.18,5.62,2.9,2.2,2.6,3.24,4.87,2.74,2.21,4.13,3.01,4.31,3.12,2.06,2.99,4.97,2.56,2.14,3.9,4.22,7.2,3.02,9.41,4.99,7.11,2.49,8.4,4.36,5.52,4.89,3.48,4.04,3.2,7.63,7.07,4.6,2.53,5.24,4.06,2.98,9.2,3.67,4.09,3.1,5.31,6.09,4.24,7.9,3.17,4.91,5.2,12.5,4.42,3.71,4.89,5.4,5.92,12.01,5.5,8.42,6.26,11.08,9.82,5.3,5.33,9.25,6.85,5.44,11.27,7.56,5.86,4.73,4.65,4.15,8.14,7.84,5.94,8.84,4.06,4.6,5.92,9.26,5.3,8.25,7.52,8.87,6.45,7.31,4.9,7.02,7.08,7.48,8.42,7.03,11.91,32.42,2.05,0,3.04,7.84,0,4.28,0.49,6.06,4.15,2.64,0,1.14,3.05,8.65,2.18,0.49,6.38,1.72,0.09,5.4,2.34,1.42,0,0.2,0,4.36,2.38,2.39,5.97,3.78,0,7.21,0,2.85,0,1.73,2.63,5.88,3.65,0.67,2.89,1.08,3.73,6.89,7.56,5.56,3.61,12.48,0.99,0.09,0.67,0.69,0.64,0.36,1.05,0.65,0.44,0.89,0.43,1.1,0.82,0.76,0,4.07,0,3.01,4.57,2.21,2.74,5.17,3.88,0,2,4.45,4.82,2.44,3.2,2.29,0.01,1.79,1.8,3.46,0,2.98,4.35,0
"3","loyfer_Blood-Granulocytes",0.49,1.32,3.77,1.67,4.46,6.9,3.13,3.52,12.72,4.27,7.22,3.01,6.68,7.64,24.61,0,4.94,3.67,3.38,7.37,4.87,2.68,3.77,3.21,4.68,3.07,2.78,4.78,7.42,4.4,9.55,3.4,4.98,5.37,6.79,3.54,0,1.65,9.66,4.21,1.23,1.08,2.76,1.14,1.37,1.27,1.87,2.48,3.2,0.45,1.1,0,2.87,3.11,0.38,1.06,2.6,0.92,3.28,2.33,4.1,0.97,1.51,3.82,1.73,0,1.12,2.1,0.7,1.93,2.41,2.5,1.47,4.11,0.99,0.05,1.27,1.22,1.31,3.54,4.94,4.63,0.5,0.08,0.75,0.99,2.34,0.25,3.51,1.28,0.82,0.6,2.83,0.24,2.01,0.49,0.47,0.08,0.75,4.91,2.32,1.6,0.25,3.59,1.09,2.33,1.96,1.46,0.75,0.29,0.14,1.51,3.26,1.83,0.03,4.02,4.03,2.89,0,1.17,0,0,1.54,0,0,0,1.38,2.66,0,0,0,1.13,1.77,0.48,0,0.07,1.04,0,0.87,6.08,8,4.67,24.43,0,0.22,0,4.28,0.57,3.82,0.62,0.87,3.04,1.65,1.04,1.35,3.11,4.29,4.62,0,0,1.98,0,0,0,0.06,0,0,0,0.48,0.11,0.61,0.06,0,0.67,0.41,0,0,0,1.14,2.87,2.16,1.4,0,29.75,1.99,0.19,1.64,1.86,11.94,12.6,3.77,2.58,5.82,0,2.98,0,2.53,6.28,0
"4","loyfer_Blood-Monocytes",0.78,0.29,0,0.32,0,0.93,0.55,0,0,0,0,0,6.52,0,2.97,6.25,0.64,0,4.75,0,0,0,0,2.76,0,0,1.73,0,0,0,0,0,3.17,0,0,0,0,3.98,0.76,1.9,0.99,0,0,2.19,0.49,1.06,0,2.29,0,0,0,0,5.12,0.8,0,0,0,0.24,0,0,0.24,1.31,0.64,0,0,0,0,0,0,0,0.33,0,0,0,1.28,0,0,0,0.32,3.92,0,0,0,0,0,1.49,2.57,0,3.58,2.83,0,0.22,0,0,1.4,0,0,0,0,0.29,0.83,0,0,1.83,0,0,0.51,0,0,0,0,4.39,6.96,0,0,0,4.6,1.33,0,1.16,0,0,0,0,0,0,0,0.29,1.37,7.33,2.06,3.07,1.09,4.36,0,1.1,4.88,0,0.96,3.11,7.12,0.51,7.5,0,0,1.27,0,1.28,0,5.46,1.49,4.74,2.06,2.55,2.15,9.86,0,0,0,7.23,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,3.11,3.86,0,23.13,2.01,0,0,0,2.22,1.85,0,5,1.46,0,3.51,0.52,0,3.68,0
"5","loyfer_Blood-NK",0.28,0,0,0,0,0,0,0,0.26,0,0.56,0.59,0,0.28,0,0,0,0.48,0.67,0.32,0.65,2.02,0.68,0,0.31,0,0.55,0.37,0,0.75,0.11,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0.64,0,0
"6","loyfer_Blood-T-CD4",2.87,5.77,3.1,3.08,11.31,2.58,3.92,4.2,3.01,4.4,4.61,3.71,2.7,1.83,3.14,8.07,3.39,3.45,6.47,3.1,3.38,3.37,3.43,5.95,3.42,3.15,5.94,3.27,3.19,4.19,3.11,2.88,4.54,2.58,3.3,4.51,5.85,7.46,2.15,6.02,9.54,9.45,3.57,6.14,8.56,10.36,3.5,8.93,4.8,4.54,5.82,6.98,5.95,4.98,5.76,5.23,2.25,9.32,1.29,1.8,3.81,6.67,5.38,3.18,7.34,6.61,7.21,3.58,7.81,4.82,2.34,4.18,10.74,7.75,7.73,2.87,7.67,6.58,7.86,6.28,6.03,7.96,9.37,6.37,9.01,8.1,7.41,8.03,4.61,4.01,8.55,6.79,6.08,8.66,4.88,5.27,8.17,4.93,8.62,6.23,9.85,8.09,10.08,4.22,9.86,4.94,9.09,10.01,7.41,8.42,7.26,3.86,13.17,2.04,2.56,3.3,2.71,0,0,0,0,0,0,0,0,0,3.17,2.18,0,8.05,0,0,3.15,1.04,0.08,0,2.32,0,2.32,3.79,0.26,6.7,1.69,0,7.29,0,4.93,0,2.19,4.58,10.81,2.78,5.03,4.8,0,3.29,12.95,9.86,7.92,0,19.01,0,8.63,0,0,0,0,0,0,0,0,0,0.14,0,0,2.73,9.04,7.22,5.14,6.77,2.75,5.48,4.64,2.89,0,2.48,8.09,6.95,3.2,2.67,3.65,0,0,3.78,2,0,3.76,6.4,0
"7","loyfer_Blood-T-CD8",13.4,12.32,9.77,6.48,17.24,9.68,13.46,13.39,5.49,7.39,12.26,6.32,12.91,9.07,5.04,42.63,9,10.07,12.6,8.52,4.57,10.62,7.53,18.34,5.83,9.64,15.89,7.92,7.73,7.87,7.1,10.14,10.22,6.76,4.84,10.72,12.01,17.22,10.92,15.99,18.89,15.84,8.07,14.75,15.29,20.05,10.68,17.49,14.54,12.77,16.56,20.83,14.06,13.38,14.26,13.35,11.69,25.91,15.48,16.21,8.68,17.91,19.74,12.02,18.2,18.15,16.67,18.81,23.21,14,17.11,9.34,8.14,15.52,20.15,14.52,23.21,17.03,23.61,18.16,16.43,17.44,20.47,16.74,19.73,30.21,17.43,18.4,14.15,14.78,19.93,21.41,20.89,16.34,19.88,16.17,12.87,15.79,21.34,11.89,18.56,14.13,21.22,17.92,16.91,19.99,27.63,22.13,21.4,19.33,18.19,30.09,17.01,8.94,6.4,15.83,12.38,10.79,18.91,19.48,22.66,18.23,18.52,15.53,23.76,22.85,22.93,14.32,21.18,26.62,23.22,13.2,20.47,13.31,14.8,7.61,13.63,15.7,25.06,14.43,18.8,17.24,12.5,11.36,18.6,14.98,11.92,11.41,12.96,21.71,26.34,18.7,10.8,18.22,15.41,15.05,9.56,10.25,5.19,12.81,17.85,4.86,3.73,3.35,3.52,3.65,3.13,4.88,3.81,3.28,4.03,3.2,4.78,4.3,3.97,3.46,10.6,3.22,12.85,10.8,17.68,13.84,14.49,12,14.25,5.65,19.79,20.33,9.11,9.35,4.6,20.78,13.36,12.75,10.73,11.62,4.91,13.31,15.54
"8","loyfer_Bone_marrow-Erythrocyte_progenitors",2.28,3.22,4.12,3.44,6.44,3.68,3.7,4.84,3.19,3.08,2.49,3.52,3.52,3.93,2.51,1.72,3.9,3.03,1.87,4,3.46,3.37,3.59,3.5,3.3,3.89,2.6,3.37,12.18,3.73,3.32,4.3,3.63,3.9,3.79,3.47,4.83,2.74,3.66,3.31,3.32,3.46,4.08,2.8,4.05,1.79,3.28,2.54,3.4,4.44,4.05,2.57,1.48,3.06,3.51,3.86,3.66,2.13,4.08,3.3,3.75,2.8,4.01,3.4,4.03,1.95,3.12,3.25,1.98,4.5,2.51,4.12,5.48,2.96,2.77,1.96,2.8,3.02,2.82,3.75,3.46,3.75,3.03,3.72,3.15,2.74,3.4,3,3.65,2.62,3.23,1.67,2.62,3.39,3.26,3.92,3.58,3.92,2.7,6.14,3.21,3.24,2.39,2.73,2.16,3.73,2.28,3.18,3.42,2.57,2.94,4.48,3.87,4.34,4.59,5.11,4.96,7.31,14.34,12.71,11.57,13.1,14.96,18.77,11.07,11.38,3.87,4.6,6.7,1.32,9.22,4.52,4.25,5.69,10.07,8.34,5.03,10.6,7.3,5.47,6.78,11.67,4.42,9.2,2.95,7.61,3.46,6.8,6.93,5.19,3.92,4.83,2.95,11.51,10.94,3.86,6.86,7.64,12.84,5.91,3.19,2.54,4.23,1.86,1.84,1.98,1.68,2.68,1.93,1.64,2.01,1.53,2.46,2.29,2,3.76,5.55,4.13,3.97,3.86,4.05,3.31,4.51,1.48,5.76,2.76,3.28,2.47,3.6,4.2,3.37,5.15,11.17,4.67,4.17,7.71,3.63,2.96,11.48
"9","loyfer_Vascular-Endothelium-META",22.97,19.12,13.11,11.29,13.49,7.82,16.32,13.3,9.56,14.75,11.64,10.29,11.05,9.91,8.89,8.91,9.18,10.43,11.17,10.85,9.42,10.65,11.77,8.87,11.32,11.37,10.85,14.26,26.36,11.57,11.31,13.97,14.71,10.87,8.73,17.95,34.06,17.43,9.28,11.93,28.05,25.51,13.71,13.74,18.27,24.78,17.96,24.61,19.08,22.64,17.51,16.75,19.16,18.48,16.93,23.97,11.83,16.67,11.77,11.34,11.44,23.93,20.85,12.8,22.21,26.4,19.67,19.24,19.28,16.23,13.7,16.37,22.62,22.99,14.33,14.23,15.99,17.06,16.56,26.23,20.71,21.11,20.35,18.86,26.14,12.13,26.69,21.74,17.94,12.65,25.71,18.38,21.34,21.37,13.72,19.45,25.61,22.38,16.95,12.32,15.06,15.79,19.54,12.23,16.72,20.25,15.89,14.57,17.3,21.48,13.72,19.93,10.47,9.1,9.46,22.08,11.46,7.25,11.26,12.48,22.07,13.73,10.16,8.04,24.37,21.64,12.53,10.51,11.23,27.52,6.7,11.03,20.47,13.14,12.48,11.66,17.45,5.14,9.74,15.17,13.29,19.32,16.1,6.77,19.94,14.04,20.29,7.64,14.1,12.16,15.18,12.06,17.1,17.52,12.5,10.4,31.02,28.71,22.92,51.39,15.84,0.29,7.3,1.27,0.97,1.26,0.52,0.32,0.08,0,0.22,0,0.38,0.45,0.06,4.8,9.96,6.12,15.83,20.3,14.94,15.69,26.09,10.63,5.99,10.92,19.12,16.29,11.68,8.89,9.3,15.13,15.63,13.67,10.46,7.7,9.58,14.27,5.59
"10","loyfer_Liver-Endothelium",0.23,1.87,1.96,1.36,0,3.41,1.83,1.44,3.54,3.04,1.4,7.53,2.2,0.93,0.98,7.17,0.42,2.21,3.13,3.46,3.62,5.29,1.51,2.06,2.94,4.36,2.36,3.11,0,5.09,3.1,2.71,0.45,3.6,3.9,2.39,0.61,2.74,2.24,0.67,0.81,2.92,5.12,3.6,1.43,3.61,1.05,1.45,1.13,0.67,1.63,2.52,2.13,3.79,2.72,0,1.37,2.86,1.63,1.15,2.46,3.11,1.13,2.04,2.23,2.26,1.57,0.58,2.76,2.54,3.25,1.99,0,1.43,3.28,3.2,3.33,2.19,4.23,1.57,0.18,0,1.56,1.6,1.96,2.03,3.04,1.22,1.83,1.69,1.46,4.04,4.99,0.4,2.49,1.35,0.25,2.71,1.93,0,0.67,2.03,2.63,2.14,1.11,1.71,1.64,1.43,1.86,2.23,3.15,3.1,0,4.03,6.99,0,7.07,1.04,0,0,0,0,0,3.15,0,0,2.44,2.36,5.49,1.19,1,7.72,1.4,3.54,0,0,7.62,0.29,1.24,1.7,1.65,0,0,0,2.32,6.66,0.17,2.91,3,6.02,3.39,4.16,8.15,0.89,5.3,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,3.46,3.76,1.57,0,3.29,2.2,2.55,1.23,3.52,2.28,4.25,2.92,1.73,2.49,6.2,0.8,3.93,0.94,1.55
"11","loyfer_Liver-Hepatocytes",42.45,41.67,53.84,64.74,36.61,56.71,47.78,49.25,53.93,51.49,47.14,52.85,41.94,56.64,43.95,7.89,60.54,57.83,39.04,54.03,63.71,48.4,56.57,45.32,58.37,55.12,46.02,53.49,35.86,50.28,54.9,51.57,48.06,59.09,61.32,44.64,28.95,35.11,54.75,39.18,23.21,23.86,50.8,41.16,41.19,22.94,46.5,25.3,39.32,42.66,39.29,33.81,35.98,39.57,42.36,37.75,56.44,24.05,54.23,52.13,53.5,25.1,31.49,49.68,28.04,28.72,34.79,30.8,24.06,41.63,46.05,47.07,40.98,28.27,29.52,48.15,29.67,36.58,24.93,19.56,31.69,28.34,25.88,36.82,23.86,27.11,19.88,31.04,37.39,50.21,25.3,27.82,24.05,31.47,37.39,37.45,32.7,35.06,29.28,49.83,30.9,36.75,23.78,42.09,31.86,34.25,24.16,31.56,32.9,25.83,37.86,17.19,9.05,63.68,63.94,30.89,41.63,67.05,51.2,51.67,37.65,50.8,52.18,54.52,39.67,41.08,40.26,50.92,47.28,11.79,56.07,58.18,33.48,50.9,61.15,70.2,44.73,68.28,47.95,40.03,39.32,32.45,21.13,72.67,29.17,55.44,41.29,69.38,49.58,39.75,26.93,41.13,44.07,36.14,46.98,31.62,28.43,29.78,45.57,19.04,16.51,91.33,74.34,92.85,92.91,92.47,94.31,91.07,93.05,94.53,92.23,94.78,91.13,91.48,92.81,85.14,57.64,78.62,45.89,34.68,45.87,42.45,31.65,6.64,64.97,65.95,30.03,34.14,46.17,53.19,63.23,39.28,46.03,54.18,48.7,71.64,60.42,43.82,65.85
"12","loyfer_Liver-Macrophages",7.8,8.37,5.52,4.23,0,4.3,3.85,4.58,4.96,8,8.09,8.91,9.02,6.61,3.28,3.46,3.92,4.45,10.49,4.22,2.99,9.5,7.12,4.36,5.64,6.33,5.85,5.36,2.95,7.26,4.02,7.1,3.72,4.07,3.52,7.7,8.69,3.15,3.07,7.15,7.1,9.88,8.09,5.38,3.9,7.06,9.87,9.96,10.34,8.19,6.29,9.29,6.69,9.69,8.85,9.44,7.18,8.4,4.25,7.64,6.41,11.57,8.04,8.14,7.61,11.79,10.2,16.44,7.21,9.06,8.19,8.98,3.75,10.29,7.65,8.43,7.38,9.36,7.17,6.23,10.42,10.83,8.95,8.97,8.63,3.93,8.49,9.83,8,4.42,9.48,9.97,8.65,11.87,5.59,11.81,10.47,9.2,9.01,1.72,9.39,10.48,10.62,6.36,12.18,7.77,8.42,8.19,6.77,10.96,9.53,3.54,3.25,3.76,6.03,15.72,3.31,2.34,0,0.83,0,0,0,0,0,0,4.77,9.98,6.26,8.54,0,1.06,8.53,5.2,0,1.02,3.09,0,0.19,7.85,2.38,1.46,8.45,0,11.61,0,10.82,0,5.68,1.89,5.18,4.89,7.51,4.45,4.28,15.36,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,12.8,3.78,6.34,11.87,8.6,1.73,7.85,10.07,10.98,5.6,1.1,3.75,9.13,2.99,6.65,7.82,0,6.33,2.78,0
